1,1368,,,,,7.0,7.6,8.0,3.5,6.25,4.92,5.0
1,1369,,,,,6.5,7.4,8.6,5.25,8.25,6.25,5.25
1,1370,,,,,4.0,5.6,3.2,3.0,4.25,3.83,4.25
1,1371,,,,,8.25,7.8,8.4,5.0,4.0,4.92,5.75
1,1372,,,,,7.25,6.4,4.4,3.0,5.25,4.75,6.0
1,1373,,,,,7.0,6.6,7.0,6.5,3.75,5.75,7.0
1,1374,,,,,8.5,6.8,6.6,3.25,8.0,5.58,5.5
1,1375,,,,,6.5,6.0,5.8,4.25,6.5,4.83,3.75
1,1376,,,,,6.25,7.4,7.4,3.75,6.5,4.33,2.75
1,1377,,,,,6.5,7.2,7.4,5.25,4.0,4.83,5.25
1,1378,,,,,6.5,5.2,6.6,4.5,6.0,5.25,5.25
1,1379,,,,,3.5,7.4,4.6,4.5,6.25,5.67,6.25
1,1380,,,,,2.5,6.0,,2.5,5.75,,3.75
1,1381,,,,,5.5,6.6,5.0,2.75,3.0,3.17,3.75
1,1382,,,,,4.25,4.8,4.4,3.0,6.25,4.75,5.0
1,1383,,,,,5.25,5.4,4.8,3.0,5.0,3.42,2.25
1,1384,,,,,3.75,5.8,5.0,4.25,4.25,3.92,3.25
1,1385,,,,,5.0,6.0,6.6,3.5,6.0,4.67,4.5
1,1386,,,,,4.75,7.0,7.2,4.75,6.75,5.58,5.25
1,1387,,,,,4.75,7.4,7.8,5.0,7.25,5.33,3.75
1,1388,,,,,6.0,6.4,7.4,3.75,7.5,4.83,3.25
1,1389,,,,,5.5,5.6,6.0,5.5,5.25,5.75,6.5
1,1390,,,,,5.75,6.2,5.6,1.75,6.25,3.08,1.25
1,1391,,,,,3.0,5.6,4.4,4.25,5.25,5.25,6.25
1,1392,,,,,4.75,8.0,5.0,5.0,7.25,6.83,8.25
1,1393,,,,,6.0,7.0,8.8,4.5,5.0,4.75,4.75
1,1394,,,,,6.25,6.0,6.4,3.0,4.75,3.67,3.25
1,1395,,,,,4.5,6.0,4.6,4.0,3.25,3.75,4.0
1,1396,,,,,5.75,5.8,5.6,3.0,2.25,3.25,4.5
1,1397,,,,,4.0,6.2,5.6,4.0,4.75,4.67,5.25
1,1398,,,,,5.5,8.2,5.6,8.0,4.25,6.25,6.5
1,1399,,,,,6.5,5.8,7.2,5.0,6.25,6.33,7.75
1,1400,,,,,6.5,6.0,7.4,4.5,7.5,5.92,5.75
1,1401,,,,,4.5,6.0,4.8,3.5,4.5,3.67,3.0
1,1402,,,,,5.0,8.0,9.4,5.75,6.75,5.58,4.25
1,1403,,,,,4.5,6.2,4.6,4.0,8.25,6.08,6.0
1,1404,,,,,4.25,5.4,6.4,7.0,6.75,5.83,3.75
1,1405,,,,,5.5,6.4,7.6,3.5,5.5,4.92,5.75
1,1406,,,,,5.5,7.2,,3.75,7.25,,7.0
1,1407,,,,,4.75,6.6,6.8,4.0,2.75,4.08,5.5
1,1408,,,,,5.25,8.4,6.4,4.75,7.25,6.42,7.25
1,1409,,,,,5.5,8.0,4.2,5.75,7.0,6.5,6.75
1,1410,,,,,5.0,6.0,5.4,4.25,6.75,5.58,5.75
1,1411,,,,,6.0,6.4,6.8,4.0,6.75,5.75,6.5
1,1412,,,,,6.0,7.0,8.2,4.0,7.0,5.25,4.75
1,1413,,,,,4.0,5.4,3.8,3.75,5.75,5.17,6.0
1,1414,,,,,4.5,5.8,6.2,5.0,4.25,4.58,4.5
1,1415,,,,,4.5,7.4,8.4,4.75,7.75,5.5,4.0
1,1416,,,,,4.0,4.0,4.8,4.5,3.25,3.75,3.5
1,1417,,,,,6.0,6.0,5.4,4.25,5.0,4.75,5.0
1,1418,,,,,4.0,8.2,7.0,3.25,3.75,4.5,6.5
1,1419,,,,,3.5,6.0,7.4,5.0,4.5,3.92,2.25
1,1420,,,,,5.5,4.8,4.2,5.0,2.5,3.33,2.5
1,1421,,,,,4.25,7.4,5.4,4.0,6.5,4.42,2.75
1,1422,,,,,4.25,6.8,6.0,3.25,7.0,5.08,5.0
1,1423,,,,,6.25,6.4,6.6,6.0,7.0,6.08,5.25
1,1424,,,,,5.5,6.6,6.0,4.75,6.25,4.92,3.75
1,1425,,,,,6.0,4.8,4.6,3.25,3.5,3.5,3.75
1,1426,,,,,7.0,6.0,4.8,4.25,5.5,5.25,6.0
1,1427,,,,,4.5,5.2,6.2,3.5,5.75,3.83,2.25
1,1428,,,,,5.25,7.8,4.0,3.5,8.0,6.17,7.0
1,1429,,,,,6.5,6.8,5.2,3.0,6.75,5.25,6.0
1,1430,,,,,6.5,6.0,7.6,4.75,2.75,2.83,1.0
1,1431,,,,,6.5,6.2,8.0,4.25,6.25,5.75,6.75
1,1432,,,,,2.5,4.2,4.8,3.75,4.75,3.67,2.5
1,1433,,,,,6.75,6.4,8.6,5.25,6.75,6.17,6.5
1,1434,,,,,5.0,4.6,,1.5,4.25,,3.25
1,1435,,,,,5.75,5.8,6.6,4.75,3.75,4.17,4.0
1,1436,,,,,6.0,7.2,8.8,6.75,7.0,6.75,6.5
1,1437,,,,,6.5,6.2,7.0,3.5,5.5,3.67,2.0
1,1438,,,,,4.5,7.8,3.6,3.75,7.5,6.42,8.0
1,1439,,,,,5.5,7.2,9.2,4.25,7.25,4.83,3.0
1,1440,,,,,6.75,7.0,7.6,7.25,5.5,5.58,4.0
1,1441,,,,,6.5,5.6,7.8,4.25,6.25,4.83,4.0
1,1442,,,,,8.0,7.0,7.6,4.5,6.5,5.08,4.25
1,1443,,,,,8.25,6.8,9.0,3.5,5.75,4.67,4.75
1,1444,,,,,6.0,7.2,4.0,3.0,6.75,4.25,3.0
1,1445,,,,,5.5,6.0,3.2,4.0,3.75,4.08,4.5
1,1446,,,,,4.75,6.8,7.2,2.75,5.75,3.83,3.0
1,1447,,,,,6.25,5.0,4.6,4.0,4.75,4.08,3.5
1,1448,,,,,7.0,6.8,7.6,3.0,6.25,4.17,3.25
1,1449,,,,,3.0,5.2,7.8,4.75,4.0,4.5,4.75
1,1450,,,,,5.0,6.2,4.0,4.0,5.25,4.58,4.5
1,1451,,,,,5.5,5.6,8.2,5.0,6.5,6.17,7.0
1,1452,,,,,6.0,7.2,7.6,2.75,3.25,3.5,4.5
1,1453,,,,,4.5,5.6,2.4,3.75,4.5,3.92,3.5
1,1454,,,,,5.75,6.6,7.6,5.75,5.75,5.5,5.0
1,1455,,,,,6.0,7.0,4.2,4.5,8.25,7.17,8.75
1,1456,,,,,3.25,5.6,5.0,3.75,4.5,4.33,4.75
1,1457,,,,,4.5,6.0,5.4,4.0,5.25,5.42,7.0
1,1458,,,,,7.75,7.2,7.6,4.75,4.75,4.25,3.25
1,1459,,,,,4.0,7.0,8.0,3.75,7.5,4.75,3.0
1,1460,,,,,5.5,6.0,6.0,4.25,7.25,4.92,3.25
1,1461,,
